"Testo Italiano";"Polaritá positiva su testo italiano";"Polaritá negativa su testo italiano";"Testo Inglese";"Polaritá su testo inglese";"Rabbia Calcolata";"Anticipazione calcolata";"Disgusto calcolata";"Paura calcolata";"Gioia calcolata";"Tristezza calcolata";"Sorpresa calcolata";"Fiducia calcolata"
"Bella spiegazione, chiara e concisa. Effetti visivi veramente suggestivi che creano una esperienza immersiva adatta a tutti. Avrei creato anche un percorso nella sala centrale con per esempio plastici per poter aumentare la condivisione e il confronto dopo aver assistito alle spiegazioni.";"16.11";"23.12";"Nice explanation, clear and concise. really striking visual effects that create an immersive experience for everyone. I also created a path in the central room with eg plastic to increase the sharing and discussion after watching the explanations.";3;"4.59";"2.81";"36.80";"27.93";"9.11";"9.64";"8.71";"0.41"
"Le installazioni sono realizzate con cura, il personale è molto accogliente, i contenuti ben presentati, i mezzi audiovisivi rendono godibile e molto interessante il racconto della storia di Roma. Lo consiglio ad un pubblico di qualsiasi età.";"86.25";"0.47";"The installations are made with care, the staff is very friendly, well-presented content, the audiovisual media make it enjoyable and very interesting account of the history of Rome. I recommend it to an audience of any age.";4;"6.71";"0.79";"3.42";"13.01";"11.48";"11.06";"53.39";"0.15"
"Se vi piace lo stile di superquark e le sue ricostruzioni storiche, questo posto fa per voi, l'esperienza racconta veramente tanto sulla storia di Roma e la sua arte. Penso sia adattissimo per bambini curiosi e avventurosi in età scolare. Dopo la visita, facevo notare tanti dettagli anche architettonici ai bambini, che tra poco studieranno la storia romana a scuola.
Alcune cose non le sapevo nemmeno io.
Soldi davvero ben spesi.
Dura 1 ora.";"26.19";"32.76";"If you like the style of The Discovery Channel and its historical reconstructions, this place is for you, the experience tells very much about the history of Rome and its art. I think it's very suitable for curious and adventurous children of school age. After the visit, I pointed out the many architectural details also to children, that soon will study Roman history at school.
Some things do not even know me.
Money well spent indeed.
It lasts one hour.";2;"42.89";"0.63";"16.23";"7.67";"9.64";"16.86";"5.41";"0.66"
"Veramente uno spettacolo che lascia il segno.
Da romano ho apprezzato molto il modo in cui Roma viene presentata e penso sia importante per chi viene da fuori vedere questo spettacolo prima della visita: nome molto azzeccato infatti";"38.47";"5.45";"Truly a sight that leaves its mark.
From Rome I loved the way in which Rome was presented, and I think it's important for people from outside see this show before visit: very apt name indeed";3;"3.56";"4.72";"2.02";"10.26";"60.34";"5.49";"12.86";"0.76"
"Il film su Roma racconta la mia città in modo entusiasmante ed istruttivo.
Veramente bello
Il personale molto educato e gentile";"88.06";"0.23";"The film tells about Rome my city so exciting and instructive.
Really nice
The staff very polite and gentle";3;"0.24";"1.47";"0.19";"0.79";"89.37";"0.66";"7.15";"0.12"
"Regà sto spettacolo spacca! Mai vista la storia di Roma così intrigante. È raccontata con un metodo innovativo e affascinante, m’è piaciuta proprio.
Se avete ospiti stranieri poi dovete andarci sicuro!
Bravi
E i ragazzi che ci lavorano sono bravi e disponibili, bravi pure loro";"99.12";"1.70";"Rega am show rocks! Never seen the history of Rome so intriguing. It is told with an innovative and attractive method to me like their own.
If you have foreign guests then you have to go there for sure!
Bravi
And the guys who work there are good and available, they too good";3;"21.25";"0.10";"52.92";"5.93";"2.33";"15.98";"1.31";"0.18"
"È stato meraviglioso vivere la storia della nostra Capitale in una maniera così coinvolgente: è un capolavoro di significati e di conferme del genio Italiano! Grazie";"93.99";"0.79";"It was wonderful to experience the history of our capital in a manner so addictive: it is a masterpiece of meanings and confirmations of the Italian genius! Thank you";3;"0.16";"0.42";"0.07";"0.18";"97.67";"0.23";"1.01";"0.26"
"Beh, un'esperienza unica e bellissima, ho trovato grande professionalità nel personale e lo spettacolo è di alta qualità....";"98.83";"3.21";"Well, unique and beautiful, I found the staff very professional and the show is high quality ....";4;"0.57";"0.16";"1.15";"6.11";"90.28";"0.76";"0.93";"0.05"
"Mostra molto interessante, con contenuto chiaro, sintetico ma essenziale e modalità proiettiva coinvolgente. Personale gentilissimo e molto disponibile. Ci ha anche fatto risentire due volte l'audioguida a fine tour. Sala cinema entusiasmante!";"94.13";"2.99";"Shows very interesting, with clear content, brief but essential and projective mode addictive. friendly and very helpful. She was also affected twice the audio guide at the end of tour. Sala exciting film!";3;"0.74";"0.83";"0.22";"0.69";"89.75";"0.40";"7.29";"0.08"
"Dai più grandi ai più giovani welcome to Rome ti permette di prendere veramente coscienza della storia di questa città, di ciò che era e di ciò che è oggi. Attraverso modellini, giochi di luce e una stanza cinematografica con proiezioni tridimensionali (grazie alle angolazione delle pareti su cui il video viene proiettato) vi verrà mostrato il passato dei monumenti più importanti di Roma. L'esperienza vi renderà più consapevoli verso tutto ciò che visiterete, essenziale quindi per apprezzare ancora di più tutta la vostra vacanza. Consigliatissimo per il primo giorno in cui si arriva in città. Adatto inoltre ai ragazzi, spesso annoiati da monumenti e resti del passato di cui non capiscono veramente l'importanza.";"22.53";"23.73";"From oldest to youngest welcome to Rome allows you to really become aware of the history of this city, of what was and what it is today. Through models, lighting effects and a movie room with three-dimensional projections (due to the angle of the walls on which the video is projected) it will be shown the past of the most important monuments of Rome. The experience will make you more aware to all that visit, so essential to appreciate even more throughout your holiday. Highly recommended for the first day you arrive in town. Also suitable for boys, often bored by monuments and ruins from the past, they do not really understand the importance.";2;"17.74";"0.39";"1.77";"1.86";"69.81";"2.70";"5.59";"0.14"
"Fatela sicuramente prima di addentrarsi nei fori ... ben fatta ... ben riuscita ... snella presentazione e gran lavoro di ricostruzione...applausi!";"75.05";"1.75";"Make it sure before entering into the holes ... well done ... well done ... streamlined presentation and much reconstruction work ... cheers!";3;"2.98";"20.81";"0.60";"15.72";"55.46";"1.98";"2.07";"0.37"
"Ci hanno consigliato questa visita ""virtuale"" di Roma come un esperienza da vivere, devo dire che avevano davvero ragione. L'intera esperienza è realizzata benissimo e permette di immergersi nella Roma del passato. Consiglio vivamente di fare questo viaggio prima di vedere i monumenti, non li guarderete più allo stesso modo.";"3.20";"2.18";"We were advised this visit ""virtual"" in Rome as an experience to live, I have to say that they had indeed right. The whole experience is made very well and allows you to immerse yourself in the Rome of the past. I highly recommend this trip before seeing the sights, you will not look them more equally.";3;"4.10";"3.89";"2.67";"5.67";"64.08";"4.77";"7.44";"7.39"
"Sono stata con mia figlia di 10 anni che ne è rimasta favorevolmente colpita al punto che ha voluto rivedere diverse “proiezioni”. L’organizzazione è impeccabile così come l’accoglienza dei due ragazzi all’entrata. Molto interessante anche per i romani di ogni età. Consigliatissimo.";"7.24";"0.27";"I was with my 10 year old daughter who has been favorably impressed to the point that he wanted to review various ""projections."" The organization is impeccable as well as the reception of two boys at the entrance. Very interesting for the Romans of all ages. Highly recommended.";3;"57.48";"0.45";"6.16";"5.83";"9.29";"18.26";"2.05";"0.48"
"Magnifico ""giro"" a Roma partendo dagli inizi fino ai giorni nostri . Per un'ora ti coinvolgono con giochi grafici da prima della creazione di Roma fino ai scavi dei fori imperiali. Bravissimi.";"0.01";"0.01";"Magnifico ""round"" in Rome, starting from the beginning until the present day. For an hour, they involve you with graphic games from before the foundation of Rome to the excavations of the Imperial Forums. Well done.";2;"15.34";"1.32";"6.85";"5.99";"47.20";"12.47";"9.46";"1.37"
"Ci siamo imbattuti in questo museo grazie al consiglio di un amico, non avevamo nessuna aspettativa ma ci hanno sorpreso. Il personale è cordiale e simpatico, il tour è stato appropriato e ci ha dato un'infarinatura degna per poter capire al meglio alcune sfumature della città.
Consigliatissimo";"96.32";"2.86";"We came across this museum on the advice of a friend, we had no expectations but we were surprised. The staff is friendly and nice, the tour was appropriate and gave us a smattering worthy to be able to better understand some of the nuances of the city.
Highly recommended";2;"0.55";"3.03";"0.18";"0.90";"89.51";"0.41";"5.22";"0.21"
"Appena tornati da questa esperienza fantastica, a dire il vero ero un po’ scettico invece ho avuto dei momenti da pelle d’oca, il lavoro svolto per allestire questa “esperienza” è enorme, ricostruzioni in 3d dei principali monumenti romani.
Stupenda l’esperienza nel cinema dove si ripercorrono i 2700 anni di Roma in un’ambiente immersivo, si volerà dai tempi della fondazione sino ai giorni nostri.
Stupende le ricostruzioni dei fori e degli altri monumenti, un consiglio a tutti (Romani e non) andateci e non resterete delusi, ma soprattutto appena uscirete dirigetevi sui luoghi appena ricostruiti in 3d e vivrete una Roma da tutt’altra prospettiva.
Complimenti agli ideatori veramente bellissimo come progetto.";"76.08";"14.31";"Just returned from this fantastic experience, to be honest I was a bit 'skeptical instead I had moments creepy, the work done to prepare this ""experience"" is huge, 3D reconstructions of Roman landmarks.
Superb experience in the cinema where you retrace 2700 years of Roma in an environment immersive, it will fly since the founding to the present day.
Stupendous reconstructions of the holes and the other monuments, some advice to all (Romans and not) go there and you will not be disappointed, but mostly just go out on the newly reconstructed head places in 3D and you will live a Roma from a completely different perspective.
Congratulations to the creators really beautiful as a project.";2;"0.78";"25.32";"0.48";"5.73";"58.66";"2.28";"6.01";"0.75"
"Una visione di Roma antica ricostruita alla perfezione e una visita immersiva in una ricostruzione della storia di Roma. Da vedere assolutamente per capire Roma. Bravi";"0.72";"0.11";"A vision of ancient Rome reconstructed to perfection and a visit immersive in a reconstruction of the history of Rome. Must see to understand Rome. Bravi";3;"2.39";"31.68";"1.50";"10.80";"36.56";"5.82";"9.56";"1.70"
"Ero già stata in questo museo interattivo, così ho deciso di portare una mia amica che mi è venuta a trovare da fuori.
A lei è piaciuto moltissimo mentre per me è stato ancora più emozionante rispetto alla prima volta.
Consiglio vivamente di provarlo perchè rimane davvero nel cuore, vedere i passi che ha fatto Roma nei secoli è qualcosa di straordinario.
Allego foto dell’ingresso su Corso Vittorio Emanuele perchè purtroppo da fuori sembra più una libreria..";"15.26";"7.06";"I had been in this interactive museum, so I decided to bring my friend that came to find out.
She loved it but for me it was even more exciting than the first time.
I highly recommend you try it because it really is in the heart, to see the steps that made Rome the centuries is something extraordinary.
I am attaching pictures of the entrance of Corso Vittorio Emanuele because unfortunately from the outside looks more like a library ..";2;"1.03";"0.75";"0.84";"2.87";"79.74";"3.02";"2.04";"9.71"
"Esperienza multimediale piacevole e interessante: quasi un'ora dedicata alla storia, quella di Roma e non solo.
Personale giovane, cortese e professionale.
Lo consiglio.";"96.79";"2.33";"pleasant and interesting multimedia experience: almost an hour dedicated to the history, that of Rome and beyond.
Staff young, friendly and professional.
I advise.";3;"4.21";"1.86";"0.59";"1.83";"87.03";"1.47";"2.52";"0.48"
"Molto molto molto bello! Semplice ma efficace. Da non perdere per iniziare un tour a Roma. Davvero coinvolgenti gli effetti 3d per ricostruire la Roma imperiale.";"53.00";"3.48";"Very very very nice! Simple but effective. Do not miss to start a tour in Rome. Really exciting 3d effects to rebuild imperial Rome.";3;"0.72";"0.38";"0.47";"0.60";"93.83";"1.25";"1.46";"1.29"
"Un modo semplice, rapido, tutt’ altro che noioso per diffondere la storia di roma, riassunta in breve tempo in maniera completa. Utile non solo per i turisti per avere una visione più completa delle conoscenze inerenti questa città. L’interattività rende il tutto molto più…";"37.05";"0.64";"A simple, quick, all 'simply boring to spread the story of Rome, summed up in a short time completely. Useful not only for the tourists to have a more complete view of knowledge inherent in this city. The interactivity makes it much more ...";2;"4.64";"5.07";"3.00";"12.84";"39.35";"7.78";"5.16";"22.16"
"Ci è piaciuto, semplice e informativo. Spero che puliscano il vetro su determinati monitor 3 d.

Grande visut, comprato per $ 14 su Viator. com

Ottimi posti per la pizza nelle vicinanze e negozi di pelletteria!";"94.28";"2.30";"We liked it, simple and informative. I hope they clean the glass on certain monitors 3 d.

Great Visut, bought for $ 14 on Viator. com

Great places for pizza nearby and leather goods shops!";3;"0.69";"0.85";"0.53";"1.29";"81.45";"1.39";"13.59";"0.21"
"È stato assolutamente incredibile e molto creativo nel modo in cui hanno portato la storia di Roma alla vita in 3 D! ! ! ! ! Merita una visita all'inizio della tua vacanza, in modo da avere una migliore comprensione della storia colorata di questa città.";"73.75";"3.37";"It was absolutely amazing and very creative in the way they have brought the history of Rome to life in 3D! ! ! ! ! Worth a visit at the beginning of your holiday, so you have a better understanding of the colorful history of this city.";2;"0.02";"0.08";"0.01";"0.03";"99.54";"0.04";"0.21";"0.07"
"Sono molto contento di averlo trovato su Trip Advisor prima di visitare Roma. Se sei interessato ad apprendere la storia di Roma velocemente e facilmente, vale la pena di anmdare! Abbiamo volato da casa e siamo atterrati sabato mattina presto e volevamo prenderla comoda e riprenderci. Questa è stata l'attività perfetta per il primo giorno dopo aver fatto un pisolino dopo il volo. Ho apprezzato molto le esposizioni 3 D che mostravano le posizioni principali così come sono adesso e come erano prima. Non penso che avrei tanto apprezzato i miei tour nei prossimi giorni successivi se non fossi venuto qui. Lo consiglio vivamente se stai andando alla cieca nella storia di Roma!";"32.21";"63.76";"I am very glad I found it on Trip Advisor before visiting Rome. If you are interested in learning about the history of Rome quickly and easily, it is worth anmdare! We flew home and we landed early Saturday morning and we wanted to take it easy and recover. This was the perfect activity for the first day after taking a nap after the flight. I really enjoyed the exhibits 3 D showing the main positions as they are now and as they were before. I do not think I would have much enjoyed my tour in the next few days if I had not come here. I highly recommend it if you're going blind in the history of Rome!";2;"0.57";"1.26";"0.38";"0.83";"91.87";"0.86";"3.48";"0.76"
"Questa è stata un'ottima introduzione a Roma. Se riesci a vederlo prima di visitare il Colosseo o ai Fori sarebbe utile. Non era molto affollato e il personale era gentile. Lo consiglierei alle famiglie.";"80.24";"20.99";"This was a great introduction to Rome. If you can see it before you visit the Colosseum and the Roman Forum it would be helpful. It was not very busy and the staff was friendly. I would recommend it to families.";2;"5.20";"1.16";"5.56";"5.80";"55.03";"7.17";"17.10";"2.99"
"Una piccola gemma nascosta! Totalmente raccomandato!
Probabilmente non andresti lì se passassi (sembra un piccolo negozio di souvenir dall'esterno). Ma non andare lì è un grosso errore! Che cos'è? ""Esperienza multimediale""? "" Cinema "" ? ""Spettacolo che mostra la storia di Roma""? Sì! Tutto. È difficile descrivere e molto meglio sperimentare da soli.
Per 12 euro ricevi un paio di cuffie comode (sennheiser over-the-ear, non quelle a buon mercato in plastica monouso) e vieni introdotto in una serie di ""stanze"". In ognuno c'è un breve film di 5-10 minuti su un particolare edificio romano. Ma non è un normale schermo / film. Combina varie tecniche di visualizzazione per creare un'esperienza 3 D in cui i modelli (fisici reali) si mescolano con varie proiezioni (ciò che viene conservato dall'edificio fino ai giorni nostri, come appariva in passato,come era costruito e ricostruito, ecc.). Poi l'ultima stanza è ""il cinema"" dove c'è un film più lungo con proiezione a tutte le pareti e anche il ""3 D floor"" che rappresenta la mappa di Roma.

Il contenuto è molto interessante, non è affatto noioso (e la storia può essere noiosa di sicuro) e vieni intrattenuto (e affascinato come tutto è messo insieme). La forma è molto moderna e con grande attenzione al dettaglio (non potevo fare a meno di sorridere quando i minuscoli romani iniziarono a scappare dalla pioggia).";"7.99";"17.96";"A hidden little gem! Totally recommended!
Probably you would not go there if I spent (from the outside looks like a small gift shop). But do not go there is a big mistake! What is that? ""Multimedia experience""? "" Cinema "" ? ""Entertainment that shows the history of Rome""? Yup! All. It is difficult to describe and much better experience yourself.
For 12 euro you get a comfortable pair of headphones (Sennheiser over-the-ear, not those cheap disposable plastic market) and come introduced in a series of ""rooms."" In each there is a short 5-10 minute film on a particular Roman building. But it is not a normal screen / film. Combine various visualization techniques to create 3-D experience in which the models (real physical) are mixed with various projections (what the building is preserved to this day, as it appeared in the past, as it was built and rebuilt, etc. .). Then the last room is ""the cinema"" where there is a longer film screening in all the walls and even the ""3D floor"" that represents the map of Rome.

The content is very interesting, it is not boring (and history can be boring for sure) and you get entertained (and fascinated how everything is put together). The shape is very modern and with great attention to detail (I could not help but smile when small Roman began to escape from the rain).";2;"22.72";"0.37";"31.33";"8.24";"12.85";"10.40";"13.83";"0.26"
